event                                     , date  , person                 , quote                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Annotator 1 Sentiment, Annotator 1 Group, Annotator 2 Sentiment, Annotator 2 Group, Annotator 3 Sentiment, Annotator 3 Group
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, CHERYL REEVE           , "That last possession, I think we learned from an earlier playoff game when we were down how we wanted to play that last possession. And so being aggressive and getting the three ball and do what we had to do, if one didn't go in, you know, get as many chances as we could get."                                                                                                                                                                                                                                                                                                                            ,                     0,                 1,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, TYRESE HALIBURTON      , So it means the world to me. I just want to continue to keep doing what I'm doing and gaining people's respect.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                     1,                 0,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, STEPHEN CURRY          , "There's a lot of guys to pick from in this group of 24 that are here. You see Luka, Ant, Shai, guys that are really coming into their prime, and they're highly decorated already as All-Stars and All-NBA guys, but have a perspective, I guess, of what that means within the on-courtoff-court opportunities with the doors that basketball opens in that respect."                                                                                                                                                                                                                                           ,                     1,                 1,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, CHERYL REEVE           , "I don't think it affected the game. I don't know if it affected her play. Phee can answer that. It was a chance to get her three minutes of rest and at the end of the quarter, that was fine, and then she went back in."                                                                                                                                                                                                                                                                                                                                                                                       ,                     0,                 0,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, GIANNIS ANTETOKOUNMPO  , "I think a lot of people have minor injuries, major injuries, and they come back. But he's always been available for his team. I think that's one of the -- first of all, that's one of the secrets that he's the all-time leading scorer, because he plays games, he plays minutes, he scores the ball. That's why he's been successful too."                                                                                                                                                                                                                                                                    ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, ELIZABETH KITLEY       , "Honestly, I'm so excited for the fit. I'm really excited for Vegas. I think that's really promising. To be able to learn from the people at Vegas for the next year, what more could you ask for? If I'm not able to play on the court, I know that I'll be able to benefit mentally and emotionally just by observing what they have there."                                                                                                                                                                                                                                                                    ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "We're bringing games to fans where they are, whether they're on national networks, ESPN, ABC, ION, which was our over-the-air partner that we signed last year, streaming on Amazon Prime, ESPN or on our own WNBA League Pass, which last year saw milestone growth for the league. And we're hoping to repeat that this year."                                                                                                                                                                                                                                                                                 ,                     1,                 1,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, TYRESE HALIBURTON      , "I think there's a lot of energy in the building, a lot of energy from Pacers fans, a lot for us to be excited about."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                     1,                 1,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CAITLIN CLARK          , "Like you said, there's a lot of young talent on the team, and just getting back to the Playoffs and doing everything we can to win a lot of basketball games is certainly the goal."                                                                                                                                                                                                                                                                                                                                                                                                                             ,                     1,                 1,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, ISAIAH COLLIER         , "They are about to get a dog. I'm just looking forward to going in there and competing from day one, showing what I can do and just prove myself in the league in general."                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                     1,                 0,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, KEVIN DURANT           , "Yeah, I had great chemistry with every player, like Kyrie, as well, Book, as well. We had success as a team with the Warriors, for sure. But I feel like I had great chemistry with all of the guys I played with."                                                                                                                                                                                                                                                                                                                                                                                              ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, KAMILLA CARDOSO        , "I don't know, I'm just excited to get there, get to work, learn from the best and just step up my game. Step my game up."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                     1,                 0,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, NIKOLA TOPIC           , "I did not visit Oklahoma. Every organization that I've been to, I met some really nice people. That is with Oklahoma, also. Very, very nice coach. GMs, everybody, I'm just excited to meet them in person and talk to them. And yeah, that's it."                                                                                                                                                                                                                                                                                                                                                               ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, COURTNEY WILLIAMS      , "Honestly, whatever the folks want to call me, I'm with whatever. As long as they're showing love. If you show me love, you can call me whatever."                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                     1,                 0,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, LeBRON JAMES           , "So it's my responsibility and my duty to let them know that no matter what you're going through, there is a path out. If you just commit to your dream and you can make that dream become a reality. I think that's what it's all about."                                                                                                                                                                                                                                                                                                                                                                        ,                     1,                 1,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, BREANNA STEWART        , "No. Honestly -- sorry, I'll just rant laughter."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                     0,                 0,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, JAYSON TATUM           , "One change, that's a funny one. If you get a tech -- bear with me. If you get a tech for overreacting to a call and you were right -- if they go back and look, the coaches do the challenge and they overturn the call, that tech should be rescinded. You should get your money back."                                                                                                                                                                                                                                                                                                                         ,                     0,                 0,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, CHERYL REEVE           , "But no, I'm looking forward to seeing what the ratings are for this one."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                     1,                 0,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, LEBRON JAMES           , "First of all, it's expletive great to see you. It's so great to see you, Jeff Zillgitt. Love this. And the fact that you got the last question is even greater. You tried to hide in the back. I love that as well. Love you, man. Wow, it's great to see you."                                                                                                                                                                                                                                                                                                                                                  ,                     1,                 0,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, CHET HOLMGREN          , "I feel like I've done a great job of that so far. Shout-out to our medical staff, too, for helping me in between games, get ready for the next one."                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "The WNBA Draft will get started soon, and I'm happy to answer any questions. I really, again, appreciate the coverage. This is what helps grow our sport, and I know many of you have been with us a long time, through our 27th and soon to be 28th season, and we really do appreciate that."                                                                                                                                                                                                                                                                                                                  ,                   1   ,              0    ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, SHAI GILGEOUS-ALEXANDER, "We've just got to try to keep pushing forward. Whatever's been working, just try to continue to do so and keep getting better."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                   1   ,              1    ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, JAYSON TATUM           , "It's much better being on the same team with JB. It's what I'm used to. We've competed against each other in practice for seven years now, so I'm kind of tired of doing that. So it's good to be on the same team for sure."                                                                                                                                                                                                                                                                                                                                                                                    ,                    1  ,               0   ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "The fourth annual Commissioner's Cup will return this time with a new format that we are very excited about. Just remember, this is our fourth annual. Each team will play five Commissioner's Cup games, one against each of its in-conference rivals, all during a two-week period at the beginning of June. The players will compete for a half-million-dollar prize pool, and the league will once again be donating to all of the teams' designated not-for-profit community organizations."                                                                                                                ,                     1 ,                 1 ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, NIKOLA TOPIC           , "Yeah, I talked with Micic. He just told me everything the best about not just the Thunder, but the whole NBA. And of course, Durisic, Nikola and I got really close this year. I really enjoyed playing with him. It was easy, as I can say. I hope he will get drafted as high as possible."                                                                                                                                                                                                                                                                                                                    ,                    1  ,                0  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, LEBRON JAMES           , "That's most important. Yes, I did seek treatment the last few days, trying to get my ankle as strong and as back to where I feel confident that I can finish off this last third of the season."                                                                                                                                                                                                                                                                                                                                                                                                                 ,                     1 ,               0   ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, GIANNIS ANTETOKOUNMPO  , "First of all, I think LeBron is going to play seven to ten more years. There's no sign of him slowing down. It's year 21, and he's playing incredible. I don't know, he's probably averaging, what, 27, 8, and 8. Close. I don't follow, but I think it's got to be somewhere up there."                                                                                                                                                                                                                                                                                                                         ,                    1  ,               0   ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, JAYSON TATUM           , "Individual awards are important. I'm not going to say that they're not. Everybody wants to win a championship, but you want to be rewarded for the work that you put in, for the things that you go out there and do on the court."                                                                                                                                                                                                                                                                                                                                                                              ,                     1 ,               0   ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, PAOLO BANCHERO         , I think he's handling it well. I think he's playing well.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                    1  ,             0     ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, JAYSON TATUM           , "He was in the locker room before the game. Him, Adam Silver, and Dr. J, they were talking to us. Once they got done, I thought I was going to be able to shake his hand. I turned around, and he was gone."                                                                                                                                                                                                                                                                                                                                                                                                      ,                     1 ,             0     ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, BREANNA STEWART        , "Listen, I want to be taking these shots. I feel like knowing my teammates and that everyone has confidence in me is important. It's kind of like on to the next and still making sure I'm aggressive any time on the court. Obviously as a player, it's very frustrating. But bounce back for Game 2."                                                                                                                                                                                                                                                                                                           ,                   0   ,        0          ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, VICTOR WEMBANYAMA      , "For now I'm just a student of this league. I don't really know how everything works. Of course, it's something I want to be -- highly involved in the future, yeah."                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                    1  ,           0       ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, PAOLO BANCHERO         , "I think it was the first four games, that West Coast trip, where I wasn't really playing well. I wasn't even shooting the ball, just kind of out there floating. That Utah game was where I had to snap out of it. I went to dinner the night before with two of my coaches and had a good talk with them. Just wanted to come out with a clear head. After that game, I knew it was over. I just didn't want to look back."                                                                                                                                                                                     ,                    0  ,        0          ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, CHERYL REEVE           , "So it's disappointing. I mean, congratulations to the Liberty on their first championship. Been around, I don't know, how long has the league been around? 28 years? It took them 28 years. Congrats to them. We were that close to our fifth. Just didn't happen."                                                                                                                                                                                                                                                                                                                                              ,                    0  ,    1              ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, BUB CARRINGTON         , "Probably say he'll be at the first game, and ""Don't suck."" Something he would probably say to me."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                    1  ,       0           ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, SANDY BRONDELLO        , SABRINA IONESCU Go Ducks.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                    1  ,       1           ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, CHERYL REEVE           , And obviously I appreciate the opportunity that A Bar of Their Own has given women in making that front and center. I'm happy to support a woman-owned business like that.                                                                                                                                                                                                                                                                                                                                                                                                                                        ,             1         ,           0       ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, ZACCHARIE RISACHER     , "That's amazing. We are trying to represent our country, and I'm so glad to be a part of it. There is more players coming in. I'm really proud of being a part of the success of my country. Trying to understand what Victor, Rudy or other French players really help me to develop myself as a player, first of all, in France, and hopefully now in the NBA."                                                                                                                                                                                                                                                 ,              1        ,            0      ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, TIDJANE SALAUN         , "I think the basketball in France has improved, and that's why we are here in this draft. Three French players in the top 10, it's not nothing."                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                 1     ,         1         ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, NYADIEW PUOCH          , "Yeah, well, growing up in juniors, I'd always be the scorer, attacking the rim, being an offensive player and stuff. But as I headed into the pro league, being young, there's already people doing all that. You have to make sacrifices. You need to learn the game a bit more, learn your other strengths. For me, it was defense. My length, being able to guard different positions, different players, being able to switch on to different people and just using my length, my ability, my quickness to kind of get around people."                                                                       ,                  1    ,       0           ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, BREANNA STEWART        , "But throughout this entire process, my team has my back every step of the way and was just excited to have another opportunity to go to battle with them. Because we have a lot of fun in everything that we do, and you know, it's not always like that."                                                                                                                                                                                                                                                                                                                                                       ,                  1    ,          1        ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, JAYLEN BROWN           , I didn't get a chance to meet him. He came in and said some words to us as a group. He kind of like said hello to everybody. We didn't get a chance to really communicate or talk. But it was great. That was my first time ever seeing him up close and personal. I haven't seen him around Boston or anything. It was pretty cool to see him around.                                                                                                                                                                                                                                                            ,                   1   ,        0          ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, PAOLO BANCHERO         , "Yeah, yeah. We feel like we can beat anybody on any given night. We're talented enough to do it, and it's just up to us bringing that same mentality. Yeah, it's encouraging when you know that you can compete with any team in the NBA."                                                                                                                                                                                                                                                                                                                                                                       ,               1       ,         1         ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, KAYLA McBRIDE          , "I'm always so in awe of Phee because she carries it with such grace. She carries it her own way. As a superstar in this league, it can become about something else. But she always keeps it about the team and always keeps it about winning and continuing to get better and better."                                                                                                                                                                                                                                                                                                                           ,               1       ,          0        ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, SANDY BRONDELLO        , Definitely. I think we need to have a parade in the Bahamas. Let's go!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   1   ,        1          ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, JAYLEN BROWN           , "I've only been to a few. The only one I really can compare it to was Utah, because in Atlanta, the other one I went to, was COVID or whatever the case may be. So far, so good for me. I thought that was a great crowd, great energy. Turned out well."                                                                                                                                                                                                                                                                                                                                                         ,                   1   ,          0        ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, CHERYL REEVE           , We are the first team in WNBA playoff history to be down 15 and come back and win the game. So that ranks really high.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                 1     ,                1  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, CHERYL REEVE           , "It's disappointing. It's incredibly disappointing. But these guys, I mean, they've got to try to pick themselves up and go, ""We were that damn close."" It hurts. It hurts."                                                                                                                                                                                                                                                                                                                                                                                                                                    ,                  0    ,       1           ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, TREY MURPHY III        , "That's definitely part of it. I feel like it started even in preseason. One of the first games I was back, I had 27 against the Spurs, and that was one of the times where I was, like, all right, I'm ready and prepared. I just kept that confidence, kept the same energy. Just stuck with my consistent work and just tried to produce."                                                                                                                                                                                                                                                                     ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "I thought it was clever, and Arike and Stewie did an amazing job. But this was an investment in bringing that NCAA viewer into the WNBA, and we hadn't done it before."                                                                                                                                                                                                                                                                                                                                                                                                                                          ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, JACY SHELDON           , "I'm excited. I've seen the growth. Everyone has seen the growth, and to be a part of that is something that is really rare, so I'm looking forward to it."                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, SANDY BRONDELLO        , "We talk about her being a rookie. She's not really a rookie. She has this experience in really big moments and the mindset to handle this atmosphere extremely well, and to make a play like that, I mean, I love it. She's an amazing player and an amazing human being."                                                                                                                                                                                                                                                                                                                                       ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, GIANNIS ANTETOKOUNMPO  , "Going through the streets of Lagos trying to buy a Giannis jersey. I told my mom, if I see my jersey, I'm going to stop and buy it. I don't care if people mob me. I've never bought my jersey before. It's a good way to do it."                                                                                                                                                                                                                                                                                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, DONOVAN CLINGAN        , "Yeah, it's been a crazy two years, from winning one national title to winning the Big East regular season to the Big East Tournament and then winning another national title. A lot of winning, a lot of succeeding the past two years. I feel like I'm going to keep that chip on my shoulder and go into Portland with just a lot of confidence, with a willingness to learn and get better every single day."                                                                                                                                                                                                 ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, ELIZABETH KITLEY       , "Yeah, honestly I'm thrilled. I can't think of a better situation to be in with the situation that my leg is in, because it's just an incredible fit. I think their resources are amazing, their facilities are awesome. To be able to look up to the players there, to be able to watch A'ja Wilson, even though I can't play, I know I'll be able to learn so much and get better just by watching and being around the culture that's there."                                                                                                                                                                  ,                      ,                  ,                      ,                  ,                      , 
