,event,date,person,quote,Positive?,Negative?,Team?,Individual?
28,2024 - WNBA DRAFT,15-Apr,JACY SHELDON,"As far as representing the university and our fans, I hope we made them proud.",1.0,,1.0,
29,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"My conversations were great with T Spoon. As you know, she was coached by Coach Mulkey, so I kind of thought maybe I'll go there. Knowing like the conversations were so good and she felt like a mother to me. Being able to be a Black woman and as a head coach, and everything she's done at the NBA level, I just knew everything they were bringing to the table.",1.0,,1.0,
30,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"Jeff Pagliocca, the GM, was amazing, too, and player development is something that I was looking for and they looked for in me. I'm super excited for this move, and I'm just looking forward to getting to Chicago.",1.0,,,1.0
31,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"My first time playing Kamilla was on one of the biggest stages in my life, when she played for Hamilton Heights and I played for St. Frances in high school and we battled. Now being able to be teammates is going to be amazing.",1.0,,1.0,
32,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"I actually talked to her earlier, was congratulating her. I know she came off an amazing run, an amazing college career. I'm looking forward to playing with her in practice and in games, just bouncing off of each other. So I'm excited for this.",1.0,,1.0,
33,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"Okay, so the quote I live by is ""Every day the sun don't shine but that's why I love tomorrows."" Every day the sun don't shine but I love tomorrow. Every day is not going to be a great day and a lot of times in my life I felt like I was down, but I always looked to the next day because I knew something else was great or something greater was going to happen. That's the quote I live by.",1.0,,,1.0
34,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,I don't know. I don't know what movie right now. I don't know what movie right now.,1.0,,,1.0
35,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"Ooh, summertime Chi-town. To be cute on and off the court. I've always been to Chicago. The shopping is great. Just the lifestyle. I'm excited. I feel like I'm a Chi-town girl.",1.0,,,1.0
36,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,Something Megan Thee Stallion. I love Megan Thee Stallion. Megan Thee Stallion or Beyonce.,1.0,,,1.0
37,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"I have had so many people reach out to me from so many different places. Understanding our impact isn't just within our school, within just the U.S., but it's worldwide. It's amazing to see.",1.0,,1.0,
38,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"Going out of the country when we go out of the country with my team, with LSU, it was like so much fun because they all recognized us and they knew us and it felt like home. I feel like anywhere we all go, and this draft class is amazing, anywhere we go, we're known. This is super cool because women aren't usually recognized around the world like how we are, and it's not even just basketball. It's the impact we've left on people's lives outside of there. It's super cool to see.",1.0,,1.0,
39,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"I think our duo, me and Kamilla versus Cam and Rickea is going to be cool to see. That's going to be fun.",1.0,,1.0,
40,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"Just be you. A lot of people may just tell you that you can't do certain things, and you're going to get more yeses and nos, and I had to realize that. Just being able to be authentic, and people love me because of who I am. I had those tough conversations. I say things that a lot of people are scared to say, and take that scary step. I took a scary step of faith going to LSU, not knowing what could happen, and look how my life has completely changed.",1.0,,,1.0
41,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"Being able to just believe in yourself, trust in yourself and have an amazing team behind me is great.",1.0,,1.0,
42,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"I mean, I didn't know what I was going to do. Obviously coming back would have been amazing for me, but I wanted more for myself. I wanted to start over. I feel like I had been at a high since the National Championship, and I want to hit rock bottom. I want to be a rookie again. I want to be knocked down by vets, and I want to be able to get up and grow and be a sponge.",1.0,,,1.0
43,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"I'm just super excited to play with the amazing players and against amazing players. This league is really competitive and I'm a competitive player, so I want to play against a lot of great players.",1.0,,,1.0
44,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"Well, my mom was crying before the show even started, so it started there. Then my brother was like agitating me, I bet you 100 that you cry, I bet you 100 that you cry. He kind of got me, too. And I had a great conversation, like she was saying, with Chicago, so I kind of knew -- if it wasn't the Mystics, I knew it was going to be Chicago that was going to be calling me home.",1.0,,,1.0
45,2024 - WNBA DRAFT,15-Apr,ANGEL REESE,"It means everything. I mean, like I said, on and off the court, we're amazing. We're not just basketball players, we're super impactful to the community, the people around us, the little kids that look up to us, and being able to also be nationwide, everybody knows us everywhere we go. Our lives aren't normal. We might get a little bit of normalcy going into the league now, but I'm just excited to be a trailblazer. I'm excited to be a part of history, and just continue to see the future, and I know it's bright.",1.0,,1.0,
46,2024 - WNBA DRAFT,15-Apr,NYADIEW PUOCH,"Yeah, it's huge. Obviously traveling from the other side of the world or from Australia, it's a lot. Like I'm still jet-lagged and everything. I've still got emotions running through and I can barely sleep. But it's great.",1.0,,,1.0
47,2024 - WNBA DRAFT,15-Apr,NYADIEW PUOCH,"It's great to just look back, knowing that my country back home, my family and my friends they're all proud of me and they're all supporting me, watching me, especially my mom. She's done so much for me, my family and stuff, making sacrifices for us. Growing up I didn't come from a big basketball sporty world, and just played it because I loved it and my siblings played it, and then to get where I am now, it's incredible.",1.0,,,1.0
48,2024 - WNBA DRAFT,15-Apr,NYADIEW PUOCH,"Obviously being in Australia, it's a bit difficult to watch the games and get to it and stuff, but I think as the years progressed, we started getting to know the game a bit more and obviously it's like a little sisterhood. We've got the WNBL now on our side and we've got the WNBA, so you get to know about it. And we've got Australians and grads that play in the WNBA, as well, so then you get to study that, as well.",1.0,,1.0,
49,2024 - WNBA DRAFT,15-Apr,NYADIEW PUOCH,"For me, I think when I play defense and I play great defense, it brings my offense naturally. So it's like, it just comes to me, and I don't have to force anything. So that's probably why I do that.",1.0,,,1.0
50,2024 - WNBA DRAFT,15-Apr,NYADIEW PUOCH,"All of them. All the WNBA players. It's so different back home. Again, like in the WBNL we do have imports that come and play, we had Tiffany Mitchell, Jordin Canada and being able to play against them and with them is huge, no matter whether they're guards or bigs, just playing against all of them and seeing the differences in how they all play and just -- yeah.",1.0,,1.0,
51,2024 - WNBA DRAFT,15-Apr,NYADIEW PUOCH,"I think it's amazing. Like I haven't been there before, but stories, everything I've heard about it, we've got fellow Aussies over there, as well. We've got Paul Goriss that's also there, as well, and he's been good to me, as well. He's talked to me then and there. He's been texting me and stuff, and Kristy Wallace. She's amazing, as well, on the court and off the court, as well.",1.0,,1.0,
52,2024 - WNBA DRAFT,15-Apr,NYADIEW PUOCH,"But I think just getting to know everyone, getting the experience, the new lifestyle and just -- as well as the coaches and the staff and everything.",1.0,,1.0,
53,2024 - WNBA DRAFT,15-Apr,NYADIEW PUOCH,"I think it's cool. It's amazing seeing fellow Australians in the WNBA, and they're achieving what you're achieving, as well. It's a privilege, honestly. It's such a great thing, and it's like -- I feel like it's just good that people can look at it and be like, wow, these Australians can play because I feel like that's one thing we don't really get sometimes, and we've had people like Lauren Jackson providing that for us.",1.0,,1.0,
54,2024 - WNBA DRAFT,15-Apr,NYADIEW PUOCH,"I hope one day we can leave that kind of legacy to younger kids and everyone, as well, in this generation, as well.",1.0,,1.0,
55,2024 - WNBA DRAFT,15-Apr,NYADIEW PUOCH,"I'm not really having any expectations. Just going in there with an open mind, making sacrifices. It's going to be hard. I'm young. They're great professional players, talented athletes. It's going to be hard, and I'm coming from a different country, different environment and a new lifestyle.",,1.0,,1.0
56,2024 - WNBA DRAFT,15-Apr,NYADIEW PUOCH,"Just taking it day by day, learning experience, talking to the vets, talking to everyone around there and just building that on to my game.",1.0,,,1.0
57,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,"I think it's great because I could do both, and either spot they need me to play that I could just sharpen in that area and get really good and just excel.",1.0,,,1.0
58,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,"Yeah, I'm super excited to come in and just learn from players like that. I think that's the fun part about it is we think we've been playing for so long, we know a lot about the game, but there's so much more to learn. I'm just looking forward to that.",1.0,,1.0,
59,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,"I think that I just bring versatility and just a physicality to the game of basketball, and so that's what mostly they'll be seeing from me.",1.0,,,1.0
60,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,"Yeah, I think just my teammates and how much time we spent together. I think that's something I'll miss, all the memories and things like that.",1.0,,1.0,
61,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,I'm just looking forward to just starting this new journey and hopefully having a great rookie season.,1.0,,,1.0
62,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,Just that I'm a humble person and somebody who is really for the community and just loves to represent my people. I think I just especially this year just try to tap into representing my culture and just being that inspiration for young kids who look like me and are of my same background.,1.0,,,1.0
63,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,"I just think that impact is something that I'll carry with me to the WNBA, and I just hope that's what people see.",1.0,,,1.0
64,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,"Yeah, I have a little bit. Gianna and Jenna have talked about Minnesota a lot and just how it is a very basketball-oriented state, and there's been so much rich culture of that there. So I'm excited to see it and experience it.",1.0,,,1.0
65,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,I'm very excited to just be able to play at the next stage and kind of just improve in areas that I need to to really excel at the next level.,1.0,,,1.0
66,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,"Yeah, growing up in Alaska was great. I would say I loved my childhood. It was just so much fun, camping, fishing, doing a bunch of outdoor stuff, and it's a beautiful state. The only problem I think was just the isolation it had from the rest of the world, and how much it lacked exposure and just sports and things like that. But I wouldn't have had it any other way. I loved my state and carry that with a lot of pride.",1.0,,,1.0
67,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,"I know going to Minnesota the cold probably won't bother me since I'm used to that, but I'm excited to be in a new environment and place.",1.0,,,1.0
68,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,"The football question, that's just played a big part in my life, I think, just kind of building up the physicality I played with. It's helped me a lot with that. Just having an older brother, he plays for the Dolphins now, just kind of looking back on it, how we were literally on the same team and competing against each other, it's cool to see.",1.0,,,1.0
69,2024 - WNBA DRAFT,15-Apr,ALISSA PILI,"We're both very fortunate to be doing what we love at the highest level, and it's just a blessing.",1.0,,,1.0
70,2024 - WNBA DRAFT,15-Apr,CHARISMA OSBORNE,"Yeah, first, I'm super excited to be drafted to Phoenix. I know they have some really amazing players there.",1.0,,1.0,
71,2024 - WNBA DRAFT,15-Apr,CHARISMA OSBORNE,"But yeah, I think I'm super motivated. Obviously since being a kid I've always wanted to play in the WNBA. To have this opportunity means the absolute world to me, and I'm just excited to go out to Phoenix and get started.",1.0,,,1.0
72,2024 - WNBA DRAFT,15-Apr,CHARISMA OSBORNE,"I'll definitely miss the people. I love my teammates, my coaches and the staff around there, and them helping me so much. I know that in the dub I'll be a little bit more independent, so I'll probably miss the extra help of people telling me what to do. But I'm excited for what's next.",1.0,,1.0,
73,2024 - WNBA DRAFT,15-Apr,CHARISMA OSBORNE,"I know at some point I have to grow up, so...",,1.0,,1.0
74,2024 - WNBA DRAFT,15-Apr,CHARISMA OSBORNE,"Yeah, I think it really was. I think I learned so much about myself as a player and especially as a leader. We had a really young team this past year, and I felt like I was able to grow my game and my leadership. I loved playing with my teammates and they always challenged me to be better, but I definitely think any leadership. I used to be so shy as a kid, so to see where I am now, I'm just so proud of that.",1.0,,1.0,
75,2024 - WNBA DRAFT,15-Apr,CHARISMA OSBORNE,"Yeah, I'm so excited to learn from both of them. Obviously they have a lot of great guards there, and Diana Taurasi is like the GOAT of basketball, so to be able to learn from her is going to be so fun and I can't wait for that. Natasha Cloud, I love her energy. I love when she used to play for Mystics and she was so fun to watch.",1.0,,1.0,
76,2024 - WNBA DRAFT,15-Apr,CHARISMA OSBORNE,It's kind of unreal to be able to say that like I'm going to be teammates with Diana Taurasi and Natasha Cloud.,1.0,,1.0,
77,2024 - WNBA DRAFT,15-Apr,CHARISMA OSBORNE,"Yeah, I think going in the third round, that's just a number, and I think I'm just going to go out there and do my best and show what I can. I'm really confident in my skills and my abilities. Obviously, I've earned this moment to be here.",1.0,,,1.0
78,2024 - WNBA DRAFT,15-Apr,CHARISMA OSBORNE,"So I think, like I said, that's just a number, and I'll go out there and try my hardest and make the team.",1.0,,,1.0
79,2024 - WNBA DRAFT,15-Apr,CHARISMA OSBORNE,All the flavors tonight. All the flavors.,1.0,,,1.0
80,2024 - WNBA DRAFT,15-Apr,CHARISMA OSBORNE,"I think I was just nervous the entire night, so the feelings didn't really change. I was pretty much nervous. But I know when I heard my name, I was just so excited, and I can't wait to get to work in Phoenix.",1.0,,,1.0
81,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"I mean, if you saw my face, I don't think anything was going through my head at the moment. I was so positively overwhelmed, and just having all of them around me, all my people in the stands, at the table, knowing that my family, my friends from back home are watching, it's surreal. It's why I'm here. Without them, I would never be here sitting and answering your questions.",1.0,,,1.0
82,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"I owe everything to them, and I'm just truly blessed and so grateful for Seattle to give me this opportunity.",1.0,,1.0,
83,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"Thank you for your question. I love Sue. I love her so much. I remember watching her when I was a kid, trying to mimic her moves. Being at UConn after her has been a huge deal for me. Very, very humbling experience. She's one of the greatest.",1.0,,1.0,
84,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"To be able to have this opportunity again, I mean, it's a full-circle moment for me. I can't believe it. It's got to be some higher power, something else going on, because I have no words for this. It's a full-circle moment for me, and I'm just so blessed.",1.0,,,1.0
85,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"I honestly have no idea about the jersey number. That's honestly the least thing on my mind. That's not what I'm thinking about, but when I find out, I'll find you and tell you first.",1.0,,,1.0
86,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"Absolutely. I feel like going back to when I had to make my college decision, UConn was a challenge, especially coming in with my class, Paige Bueckers, No. 1 player in the country, that was a huge challenge, but I took it. I feel like it paid off, and that's one decision that I'm so happy and proud that I made in my life because all of that led to this.",1.0,,,1.0
87,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"But to get back to your question, I feel like first and foremost, I obviously -- their roster, just looking at it, those are some iconic women. Those are some iconic basketball players, people that I want to learn from, that I want to listen to, that I want to get challenged by, that I want to get yelled at, everything, all of the above. I'm ready for it, and I feel like it's kind of like a similar thing for me going to UConn and going to this place. Obviously, this is the next level.",1.0,,1.0,
88,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"The one thing that I want to bring is being a good teammate. I want to create amazing relationships over there. I feel like that's what makes and helps teams win, and I want to be a part of that winning program because it truly is a historic winning program.",1.0,,1.0,
89,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"Well, first and foremost, I feel like this was something that I didn't even dare to dream about, if I can say it that way. I always felt like it was such a reach. It was something far more beyond me and bigger than me. But luckily I had people around me, my teammates, my friends, my family, my coaches, everybody that made me believe in it, too.",1.0,,,1.0
90,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"I always trust my work ethic. I feel like that's my best asset, how hard I work, how I don't give up, how I learn from my mistakes.",1.0,,,1.0
91,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"Obviously I'm going to fail, and that's fine. But it's how you react to it. I'm ready for all the challenges. I'm ready for whatever is thrown my way. But I know I'm going to respond in a positive way and how a true competitor does.",1.0,,,1.0
92,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"Absolutely. Thank you for the question. I feel like as you grow, you learn and you mature. When I came in as a freshman, I didn't understand that you don't have to be in the gym all day. It's how hard you work for those 45 minutes, those 20 minutes, and how consistent you are with it. I feel how my coaching staff, especially Morgan Valley, my coach, she kind of helped me guide me through that. This last, my senior year, I spent 25 minutes before every single practice, even on the days that I didn't feel like it, even on the days that I was tired, and shot threes and shot mid-ranges.",1.0,,,1.0
93,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"That 40 percent that you mentioned is purely the testament to my hard work and dedication and her being in that gym with me every time. I'm so grateful to her. But I'm also very proud of myself and how I just remained consistent and proved to myself that consistency is the key, because hard work I already have it. Consistency was the key for me.",1.0,,,1.0
94,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"Yes, thank you. I feel like us UConn players, we're a family. It doesn't matter if we played 30, 20, 10 years ago or even before that, or you're playing right now or you are going to play in the future. Everybody is connected. That's what the coaching staff does a great job of, creating that family atmosphere, that strong bond and connection that lasts forever.",1.0,,1.0,
95,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"That's how it is with Sue. She's been over to UConn so many times, whether that's like fun stuff or coming to watch our games or trying to help us and guide us and give us advice, because we all truly look up to her a lot.",1.0,,1.0,
96,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"I mean, I'll say it again, it's a full-circle moment for me. All the things that kind of led up to this, it's crazy. I can't believe it. But I'm just super grateful and I can't wait to see her. I'm sure she's going to be of a great help, and my mentor and somebody that's going to guide me, and I want that.",1.0,,,1.0
97,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"But to get back to your other question. Absolutely, Nneka, Skylar, those women are incredible, on and off the court. I can't wait to learn from them, and of course I watched them. Skylar, I watched her so much. Nneka, I mean, she hugged me and I almost passed out over there. And obviously the rest of the team. When you look at the names, what they've done -- I always go back to not just on the court but off the court with the influence that they have. I can't wait to be a part of that. I can't wait to learn. I can't wait to just listen and sit back and try to get everything I can from such influential, iconic women. I'm super, super excited. I can't wait to meet all of them.",1.0,,1.0,
98,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"Yeah, I mean, that's a funny question because growing up, I didn't really have the opportunity to watch WNBA games. Even now in Croatia, people have to find their ways to watch those games. I feel like what I remember, I would sit in my living room with YouTube and find games or highlights or anything that I can. I remember watching Brittney Griner in my living room. It's just those little things that stick with me. But it was hard to find places and ways to watch these women.",1.0,,,1.0
99,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"I feel like seeing now especially with this draft class that I'm a part of, amazing athletes, amazing people that brought women's basketball to another level, and I always say, all the players before us that paved the way for us, they deserve their flowers, and they deserve to be recognized. I feel like we're moving toward that direction, and I never think it's too late. I always think there's time to be better and improve and grow, and I feel like we're on the right track.",1.0,,1.0,
100,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"Yeah, Aaliyah has been there from the start. That's my sister. That's my family. I met her even before we both committed to UConn. Can you guys believe how full circle -- it's so many full-circle moments I can't even fathom right now. We met before at NBA Academy, BWB, and I loved her instantly. Our bond is strong. We don't need no words. You can feel it. You can feel the energy. To be able to here with her and share this has been nothing but incredible, and something that I'll remember for the rest of my life because it would not be the same if she wasn't here with me.",1.0,,1.0,
101,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"I'm so proud of her. She's going to do amazing. She's going to do great. Everything that she did, she deserves. She put her head down and she worked. Even without all the recognition that she did deserve but she didn't get at times, she didn't care. She put her head down and she knew that something great will happen, and it did tonight. I'm so happy for her.",1.0,,1.0,
102,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"But to get back to the other question, Paige, Azzi, Aubrey, Caroline, all my teammates watching at home, I love them so much. I owe them everything, and I can't wait for my younger teammates and everybody that's coming back next year to have this moment, too, because I know they will. I'll be proudly watching and cheering for them, too.",1.0,,1.0,
103,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,I'm just so grateful to be able to call them my sisters and my family and have such great support even though I'm not home. This is my home away from home. They are my home away from home.,1.0,,1.0,
104,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"Yes, absolutely. I feel like I couldn't get more prepared than being at UConn, surrounded by all the coaches, but especially Coach. He's just a legend. When UConn called, I couldn't say no. That was the opportunity of a lifetime for me.",1.0,,,1.0
105,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,Every single thing in that culture that he built in that program aligns with me and who I am as a person and who I strive to be and get better at being.,1.0,,,1.0
106,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"But just the things I went through with him is so much, and he's my best friend. He's not just my coach, he's my best friend. He's been there from the start. When I failed, through the worst things, through the best things, he always stuck by my side and never left. I'll cherish that bond and that relationship that I have with him forever.",1.0,,1.0,
107,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"I'm so grateful and happy that he was there tonight, along with all my coaches, at the table and in the audience. They prepared me. They pushed me. They cussed me out when they had to. They yelled at me when they had to. They praised me when they had to. They just did everything right.",1.0,,,1.0
108,2024 - WNBA DRAFT,15-Apr,NIKA MUHL,"So grateful because not just as a basketball player they have changed me, but they changed who I am as a person. They made me a better person and they make me want to be even better. I'm grateful for them.",1.0,,,1.0
109,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"Yeah, I think my emotions have been so up and down over the last six weeks. I had different expectations in February than I did at the end of March. I think I've been dealt with what I've been dealt with, and the only way to really move on is to have a positive outlook.",1.0,,,1.0
110,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"I'm really excited, and that's my No. 1 emotion right now.",1.0,,,1.0
111,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"Well, they're always there for me, first of all, no matter if I go out and have 25 in a game or if I can't play. I know they're going to be at the game. They're going to be the first ones hugging me afterward. That support has meant the world to me over the last 15 years that I've been playing basketball or sports at all.",1.0,,1.0,
112,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"For them to be able to be here with me on draft night, my family, my sister, my parents, it means everything to me. It's not just a testament to what I've been able to do but how they've been able to help me get here.",1.0,,,1.0
113,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"Yeah, I didn't start playing basketball super seriously until probably middle of high school, so I wasn't exposed to it super early. But I also think the media didn't push it as much. Even though I played basketball in high school, it wasn't necessarily something that was super popular in the media.",,1.0,,1.0
114,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"But I'm super excited for it to be taking that trajectory. The class that I'm in right now has done an incredible job to bringing attention to women's sports, women's basketball, and now taking it into this league I think is super exciting.",1.0,,,1.0
115,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"I think we're already seeing the impact of that on little girls. I think they're way more aware of it than I was at that age, and that's super exciting. I think with expansion coming up and all that stuff, it's headed toward a really good place. I'm really excited to be a part of it.",1.0,,,1.0
116,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"That means everything. Those five years at Virginia Tech were so, so special. I wouldn't change a thing about it. The people I had around there, the teammates, the coaches, they were just incredible. They made me who I was. For me to bring that attention to Virginia Tech, to take it to a Final Four, win ACC championships, was just so fun. For them to recognize me I think is really, really cool, but it's also just making me really proud of the program that we were able to create there.",1.0,,1.0,
117,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"Yeah, I was just able to talk to Coach Becky Hammon a little bit. Obviously there's a little bit more to be figured out, but she spoke about the medical staff there and just working on getting me out there, so we can see where I am and start taking those steps to get me back on the court again because obviously that's the ultimate goal.",1.0,,,1.0
118,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"But I'm super excited. I think seriously it's a great fit for all of those things. I know that they'll support me, and we'll all have the same goal of getting me healthy and helping to contribute. We'll take it day by day but with that in mind for next year.",1.0,,,1.0
119,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"Yeah. I mean, he's taught me everything I know. I didn't come into college expected to be anything really. I really didn't take basketball super, super seriously. I thought I wanted to play softball when I was little in college. He completely changed my perspective on that. He made me fall in love with the game to the point where you couldn't get the two of us out of the gym together. We just love spending time with each other in there.",1.0,,,1.0
120,2024 - WNBA DRAFT,15-Apr,ELIZABETH KITLEY,"I definitely wouldn't be here without him. He completely transformed my game into something that I think is pretty unique and special, and I'm so appreciative for him because of those things. I love him like he's family.",1.0,,,1.0
121,2024 - WNBA DRAFT,15-Apr,RICKEA JACKSON,"I'm so excited to play with Cam. We're both competitive. We're young. We're feisty but we're still going to bring that game offensively and defensively. I know if I get beat off the dribble, Cam is swatting into the second row. So I'm ready for that, too.",1.0,,1.0,
122,2024 - WNBA DRAFT,15-Apr,RICKEA JACKSON,"Yeah, I feel like I'm excited to bring my versatility, play at any position, taking advantage of whether it's a small guard on me or bigger or slower player. I'm excited about that. Then I just want to work on getting in tip-top shape after the injury. My conditioning was in the game trying to get back. I feel like when I'm in tip-top shape, world-class shape, that's when I'm playing my best both ends of the floor.",1.0,,,1.0
123,2024 - WNBA DRAFT,15-Apr,RICKEA JACKSON,"Yeah, I'm definitely excited. I'm just grateful that L.A. believed in me. They see something in me, and I see something in them, too. I had great talks with them prior to the draft, so I'm just grateful for it all.",1.0,,1.0,
124,2024 - WNBA DRAFT,15-Apr,RICKEA JACKSON,"Playing at Tennessee and Mississippi State, it's prepared me for this moment because life is just trials and tribulations, but how you get through those, and I feel like I've overcome a lot of adversity. I've continued to stay strong, and that's what got me to where I am today.",1.0,,,1.0
125,2024 - WNBA DRAFT,15-Apr,RICKEA JACKSON,"Yeah, it's crazy to say, but I didn't even think about how the draft process goes. I thought you just show up to draft day and you kind of get drafted. I didn't know if they even speak to you prior to the draft. Really crazy of me.",1.0,,,1.0
