event,date,person,quote,A1 Pos,A1 Neg,A2 Pos,A2 Neg,A3 Pos,A3 Neg,A1 Team,A1 Individual,A2 Team,A2 Individual,A3 Team,A3 Individual,True Pos,True Neg,True Team,True Individual
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"Yeah, I actually am from New York, so I used to go to Liberty games growing up. I was a ball girl a couple times. I've been around the W for a little bit.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"So being able to purchase tickets to sit front row, seeing that, they were giving out free tickets at one point for girls to come in and just have a crowd. To now playing against Iowa and selling out our crowd at home, just to see that evolution and that aspect, and now I haven't been to that many, but I think I went to one of the playoff games with the Liberty last year.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"So just to see that in itself, being a young girl, thinking that the stadium was so huge to coming in there going, you've played in stadiums like this but now it's filled up, it's filled to the top, I think it's great to show people that once you invest in women that they can give back in a lot of ways.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"Once I learned that these colleges come and you get a free education and you get to experience so many different things -- I've had the opportunity to play on USA teams. So just for me, just understanding everything that comes with it. I didn't expect to be here, but I'm here, and I am so excited that Indiana has taken the opportunity on me.",1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"I played with Caitlin when I was at USA for a couple years. So we played together there. But from going against her this year to being able to play with her and also Aliyah Boston, as well, it brings me some comfort, honestly.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"Very excited and so proud of what they've done and how they've grown, as well.",1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"Yeah, it was definitely a tough decision for me last year, but I told people that I would never trade the decision I made to go to Ohio State. I think it has brought me so much peace in who I have become as a player and the impact that I can make in any program that I choose or organization that I have the opportunity to be a part of.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"So just having that mindset and going into Ohio State and coming in and realizing that I can make a little impact, I'm not here to change anything, but I'm just here to sprinkle a little of me in there and try to impact in any way that I can is really helpful.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"Yeah, obviously adaptability is definitely a big thing, being able to go to a different country, adapt to the environment, adapt to the culture. Overseas is definitely a different way to play ball. They play ball pretty differently there. Just having that prior experience. I know there are a lot of people in the W that are from overseas.",1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"So just having that prior experience, even playing with the caliber of players that I played with, I think all in all, everything together has helped me become the player I am today. I'm very hopeful and very confident that it will help me in the W.",1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"Yeah, I think pro level of play would probably be the best one. It's just pretty different. They're used to playing against grown women. They're used to that physicality. I think all together it has helped me in many facets of the game of basketball.",1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"It's really focused on trying to make the team. Obviously that's the first step going into it, and having confidence in myself and trying to make that. If I do, and when I do get the opportunity to play against them, I think it's just going to be such a surreal feeling. I'm there to compete. I'm there to try to make a roster spot. I'm trying to stay in the league.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"I think a lot of it is just excitement, surreal, because I've seen them play. I was younger watching them play. But definitely very competitive and just excitement.",1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"Yeah, I didn't have the opportunity to really, really get to know her. When I was recruited by Ohio State coming out of high school, she was there. So I got to see her on my visits a couple times. That was probably the biggest interaction. But very hands on, very big about coming to be a Buckeye.",1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,CELESTE TAYLOR,"I think it's kind of interesting that that was the school that I was looking at coming out of high school. I ended up finishing my college career there, and now I get to play with a Buckeye. I think that's also going to give me some comfortability. She's a great player and so much I can learn from her. I'm just ready to go in there to work and continue to learn.",1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,"It means the most to me. Just tells me that I'm going to be in good hands, and I'm just excited to get there and get to work with her.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,It's been an amazing day. It was my first time over there. Just a nice view.,1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,"Getting my hair done and my makeup done was also amazing. Getting here, getting drafted was amazing. It's just been a really special moment for me, and everything is going just like I dreamt of.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,"I would say just getting in the league and bringing my winning leadership, my winning mentality. We won two national championships, so...",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,"Yeah, I feel like that was the dream, but honestly, no, I didn't really expect this. I'm just so proud that I am here right now. I know little Kamilla, when I was 13 years old, is also proud. I'm just excited to be here and happy.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,It's been a crazy couple of days. I'm just so proud of my teammates for winning the national championship. I'm just so happy to be here.,1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,"I got really emotional because the main goal was to get here and being able to give my family a better life, and just by looking at them and seeing them at my table was amazing. I obviously get emotional when I talk about my family because I'm so proud of everything I was able to accomplish and do for them.",1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,I think it's going to be great. She's a great player. I'm a great player. So two great players together. Nobody is going to get no rebounds on us.,1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,This is actually going to be my first time in Chicago. I'm really excited. I've heard really good things about it. You have some of the best pizzas. I'm excited to get there.,1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,"Yeah, I would like to go play overseas somewhere. I think that gets you better. Every time I played for my national team, it got me better somehow. So I'm excited to go to the WNBA and be able to play overseas somewhere.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,"Yeah, I feel like that tells you a lot about Coach Staley. She gets you ready for this level. She gets you prepared for whenever you step to the next level, and like I said, that just tells you everything about her. She gets you super prepared for the league.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,"My main goal as a WNBA player is just to step my game, being a sponge, soaking in everything from everybody, learn each and every day, and be a better version of myself each and every day. Be open to learning new stuff and stay ready.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,My conversations with them have been amazing. I'm all about energy. She has a great energy. He has a great energy. I'm just excited to get there and get to work with them.,1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,"And about specific to me, I'm just excited to meet the whole team.",1,,1,,1,,1,,1,,1,,1,,1,
2024 - WNBA DRAFT,15-Apr,KAMILLA CARDOSO,I'm happy. I'm really excited. She's a great player. I'm a great player. I think we're going to do great things together.,1,,1,,1,,1,,1,,1,,1,,1,
2024 - NBA DRAFT,26-Jun,NIKOLA TOPIC,"Yeah, just excited to meet all the players and to speak to the coaches, to meet them, meet the front office. Just excited to go.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - NBA DRAFT,26-Jun,NIKOLA TOPIC,"Yeah, they are very incredible and talented. I'll try to fit in there. I'm young. I'll learn a lot probably. I'm really grateful for the opportunity.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - NBA DRAFT,26-Jun,NIKOLA TOPIC,"Yeah, it was great. But I had injuries, so sadly, I didn't play more. But I tried to take my time and to be with them, to talk with them, even with the injury.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - NBA DRAFT,26-Jun,NIKOLA TOPIC,"So yeah, I really enjoyed it there. I made some really good friends and friendships forever. But as I said, I'm sad that I didn't have that opportunity to play more with them.",,1,,1,,1,,1,,1,,1,,1,,1
2024 - NBA DRAFT,26-Jun,NIKOLA TOPIC,"Just that I'm ready, that I'll give 150 percent of myself for every ball, every possession, every time on defense. And that's it.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - NBA DRAFT,26-Jun,NIKOLA TOPIC,It meant a lot that I had him here. We were together in Miami. We shared some good memories at times. We visit some places. It's great to have him here.,1,,1,,1,,,1,,1,,1,1,,,1
2024 - NBA DRAFT,26-Jun,NIKOLA TOPIC,"Not yet. I've been coming back slowly. But we'll talk tomorrow with the team and the team doctor and see what's the best for me, and we'll do that.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - NBA DRAFT,26-Jun,NIKOLA TOPIC,"Nikola is one of the most popular names in Serbia. So yeah, maybe. There's a lot of Nikolas, for sure.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - NBA DRAFT,26-Jun,NIKOLA TOPIC,"That I'm really funny person. That I want to spend time with my friends. At home with my family, we have movie nights. We enjoy watching movies and TV series.",1,,1,,1,,,1,,1,,1,1,,,1
2024 - NBA DRAFT,26-Jun,NIKOLA TOPIC,"He just told me, ""Welcome, teammate."" That means a lot for me because he accepted me. He stood up to shake my hand. It's really great to have him there. He's coming into the third year, and he's done a really good job the past two. And not just him, the players and the whole organization. I think we can do more.",1,,1,,1,,,1,,1,,1,1,,,1
